country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
Peru,2015,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989,PER,49.227873,1.602894,189926516769.25,6053.11241492924,40.9,74.747,31376671.0,45.1339446628814,3.0,77.357
Belarus,2015,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909,BLR,58.798911,6.061363,56454734396.5842,5949.10630699748,67.3,73.6243902439025,9489616.0,115.914826201946,5.91300010681152,77.181
Poland,2015,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212,POL,313.455719,8.130484,476970902628.578,12556.3557471176,67.997,77.4512195121951,37986412.0,96.0094604243733,7.50099992752075,60.278
Malaysia,2015,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501,MYS,235.701912,7.586442,296636282166.176,9655.13737655446,71.06406781,75.143,30723155.0,133.459702221727,3.09999990463257,74.213
Croatia,2015,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243,HRV,17.824705,4.189302,49490142433.1046,11773.2646636326,69.8031,77.2756097560976,4203604.0,93.904974524731,16.1749992370605,56.155
Libya,2015,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023,LBY,54.550698,8.809533,27842131486.4054,4465.49036623447,19.01607978,71.776,6234955.0,114.245922122484,16.0949993133545,79.27
Russia,2015,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005,RUS,1629.713151,11.265164,1363705265460.57,9314.54499661978,70.1,71.1834146341463,144096870.0,49.3465412328807,5.57100009918213,74.05
Jamaica,2015,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299,JAM,7.998908,2.862432,14145469269.457,4925.41585894975,42.22122119,75.836,2871934.0,76.1051099641137,13.5109996795654,54.833
North Cyprus,2015,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428,CYP,6.972964,5.873058,19680625485.1946,23217.4841507892,71.7159,80.344,1160985.0,128.823251636142,14.9079999923706,66.946
Cyprus,2015,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146,CYP,6.972964,5.873058,19680625485.1946,23217.4841507892,71.7159,80.344,1160985.0,128.823251636142,14.9079999923706,66.946
Algeria,2015,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383,DZA,160.08745,4.048424,165979277276.907,4162.8521805562,38.2,75.86,39871528.0,59.6951291204194,11.206000328064,70.848
Kosovo,2015,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741,XKX,,,6440612176.999,3574.54333277778,,71.3463414634146,1801800.0,72.3237193284546,,
Turkmenistan,2015,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844,TKM,73.695297,12.780054,35799714285.7143,6432.68416952563,14.99677482,67.704,5565284.0,81.2999305660859,3.83999991416931,50.317
Mauritius,2015,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521,MUS,4.209936,3.255559,11692287066.381,9260.44730250635,50.13931848,74.3531707317073,1262605.0,107.636871085869,7.40999984741211,41.0
Hong Kong,2015,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124,HKG,42.399923,5.729845,309383627028.561,42431.8882817277,84.94835296,84.2780487804878,7291300.0,389.405949263639,3.3199999332428,100.0
Estonia,2015,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184,EST,15.8469,12.054018,22904456871.8171,17412.4486731613,87.23733209,77.590243902439,1315407.0,150.682554425408,6.18699979782104,68.416
Indonesia,2015,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0.0,IDN,539.149239,2.080918,860854235065.079,3334.54907484848,21.97606771,69.025,258162113.0,41.9376402415299,4.51399993896484,53.313
Vietnam,2015,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441,VNM,217.728761,2.361704,193241108709.536,2065.16909895862,43.5,76.052,93571567.0,178.767414715772,1.85899996757507,33.809
Turkey,2015,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746,TUR,384.330489,4.825473,859796691176.471,10984.8028816485,53.74497914,75.498,78271472.0,49.2998761677158,10.2360000610352,73.611
Kyrgyzstan,2015,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232,KGZ,10.278881,1.737771,6678178340.45121,1121.08283510739,30.24704278,70.6512195121951,5956900.0,110.961570714633,7.55999994277954,35.777
Nigeria,2015,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403,NGA,109.231811,0.593665,494583180777.234,2729.76277774009,24.5,52.985,181181744.0,21.4469296745955,5.31300020217896,47.838
Bhutan,2015,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445,BTN,0.965039,1.298363,2059809919.89325,2616.01034294902,39.8,69.817,787386.0,96.4182116610232,2.45000004768372,38.678
Azerbaijan,2015,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065,AZE,34.682946,3.516299,53074370486.0433,5500.31038244408,77.0,71.921,9649341.0,72.6015079073189,4.96000003814697,54.714
Pakistan,2015,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464,PAK,166.410762,0.788791,270556126820.064,1428.63762767431,14.0,66.322,189380513.0,27.6546730166962,3.56599998474121,36.026
Jordan,2015,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293,JOR,25.557235,2.691866,37517410281.6901,4096.09927499826,60.11438269,74.182,9159302.0,98.0769067392572,13.0749998092651,90.256
